Summary_Metric,Voice_Metric,Correlation,P_Value,Significant,Abs_Correlation
Topic_Coverage,volume_range_trend_direction,0.7688351817943205,0.0008089513682393003,Yes,0.7688351817943205
Topic_Coverage,volume_std_trend_direction,0.7688351817943205,0.0008089513682393003,Yes,0.7688351817943205
Topic_Coverage,pitch_mean_total_change,0.7011605962421799,0.00358606980397636,Yes,0.7011605962421799
Overall_Percentage,volume_range_trend_direction,0.6971593117722686,0.003867875297293477,Yes,0.6971593117722686
Overall_Percentage,volume_std_trend_direction,0.6971593117722686,0.003867875297293477,Yes,0.6971593117722686
Factual_Accuracy,stress_max,-0.6943650748294136,0.0040749053873818,Yes,0.6943650748294136
Semantic_Similarity,tremor_std,0.6928571428571427,0.0041902329602981365,Yes,0.6928571428571427
Semantic_Similarity,tremor_variance,0.6928571428571427,0.0041902329602981365,Yes,0.6928571428571427
Topic_Coverage,volume_mean_trend_slope,0.6631131220274878,0.007046399205437963,Yes,0.6631131220274878
Topic_Coverage,pitch_std_total_change,0.6486188461361766,0.008903476172285946,Yes,0.6486188461361766
Topic_Coverage,pitch_variation_total_change,0.641371708190521,0.009965232394607724,Yes,0.641371708190521
Overall_Percentage,happy_range,-0.638641451227374,0.010389906369455523,Yes,0.638641451227374
Overall_Percentage,happy_max,-0.638641451227374,0.010389906369455523,Yes,0.638641451227374
Semantic_Similarity,surprise_max_change,0.6357142857142856,0.0108607461687898,Yes,0.6357142857142856
Overall_Percentage,pitch_mean_total_change,0.6350636279711983,0.010967627352893387,Yes,0.6350636279711983
Topic_Coverage,volume_std_trend_slope,0.6250656478127959,0.012715305840510725,Yes,0.6250656478127959
Topic_Coverage,spectral_centroid_median,0.6236734758895413,0.012974852164655933,Yes,0.6236734758895413
Factual_Accuracy,dominance_max_change,0.6172133998483676,0.014233416415981375,Yes,0.6172133998483676
Factual_Accuracy,dominance_range,0.6172133998483676,0.014233416415981375,Yes,0.6172133998483676
Topic_Coverage,tremor_total_change,0.6141949408943125,0.014852882950077098,Yes,0.6141949408943125
Overall_Percentage,disgust_total_change,0.6135966884341437,0.01497809413536939,Yes,0.6135966884341437
Overall_Percentage,volume_mean_trend_slope,0.610018865177968,0.01574401740189093,Yes,0.610018865177968
Topic_Coverage,happy_max,-0.6087595874350709,0.016020661229779486,Yes,0.6087595874350709
Topic_Coverage,happy_range,-0.6087595874350709,0.016020661229779486,Yes,0.6087595874350709
Topic_Coverage,speech_rate_total_change,0.605136018462243,0.01683763517402758,Yes,0.605136018462243
Topic_Coverage,harmonic_ratio_total_change,0.605136018462243,0.01683763517402758,Yes,0.605136018462243
Topic_Coverage,stress_total_change,0.6033242339758291,0.01725795573431724,Yes,0.6033242339758291
Topic_Coverage,neutral_total_change,0.6033242339758291,0.01725795573431724,Yes,0.6033242339758291
Overall_Percentage,fear_total_change,0.6010743070375286,0.017791099833518703,Yes,0.6010743070375286
Semantic_Similarity,spectral_bandwidth_cv,0.5964285714285712,0.018931924687865174,Yes,0.5964285714285712
Topic_Coverage,volume_range_trend_slope,0.5942653115437596,0.01948189763343213,Yes,0.5942653115437596
Topic_Coverage,speech_rate_mean,0.5924535270573457,0.019951860061615978,Yes,0.5924535270573457
Factual_Accuracy,speech_rate_range,0.5868455973269637,0.021461650694970608,Yes,0.5868455973269637
Topic_Coverage,angry_total_change,0.5797710356524484,0.023488933846041813,Yes,0.5797710356524484
Factual_Accuracy,stress_range,-0.5786375623578446,0.023826830289698064,Yes,0.5786375623578446
Factual_Accuracy,sad_min,-0.5786375623578446,0.023826830289698064,Yes,0.5786375623578446
Factual_Accuracy,valence_max_change,0.5786375623578446,0.023826830289698064,Yes,0.5786375623578446
Topic_Coverage,disgust_total_change,0.5779592511660345,0.024030800407566878,Yes,0.5779592511660345
Topic_Coverage,fear_total_change,0.5761474666796206,0.024582120578576127,Yes,0.5761474666796206
Overall_Percentage,silence_ratio_trend_direction,-0.5738476063109589,0.025295741021505887,Yes,0.5738476063109589
Semantic_Similarity,surprise_variance,0.5714285714285713,0.02606319337636288,Yes,0.5714285714285713
Semantic_Similarity,surprise_std,0.5714285714285713,0.02606319337636288,Yes,0.5714285714285713
Overall_Percentage,volume_std_trend_slope,0.5706628093600346,0.026309775570257866,Yes,0.5706628093600346
Overall_Percentage,valence_total_change,0.5670849861038588,0.027485369649742672,Yes,0.5670849861038588
Topic_Coverage,volume_mean_trend_direction,0.5592453043678743,0.030199903768435163,Yes,0.5592453043678743
Topic_Coverage,intensity_trend_direction,0.5592453043678743,0.030199903768435163,Yes,0.5592453043678743
Overall_Percentage,angry_total_change,0.5563515163353314,0.03125129848278623,Yes,0.5563515163353314
Overall_Percentage,surprise_min,-0.5562751356225794,0.03127941785547645,Yes,0.5562751356225794
