Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Topic_Coverage,combined_quadrant_transitions,0.8660329845058448,2.9945202063477497e-05,Yes,0.8660329845058448
Overall_Percentage,combined_quadrant_transitions,0.8121658791518986,0.00023487691568443737,Yes,0.8121658791518986
Overall_Percentage,fused_quadrant_transitions,0.7477650605407349,0.0013491895704556636,Yes,0.7477650605407349
Topic_Coverage,fused_quadrant_transitions,0.7192784411063188,0.00250733527867947,Yes,0.7192784411063188
Topic_Coverage,combined_valence_total_change,0.6558659840818322,0.007932374412295775,Yes,0.6558659840818322
Overall_Percentage,combined_valence_total_change,0.6064410419217922,0.016539793462124235,Yes,0.6064410419217922
Topic_Coverage,combined_arousal_total_change,0.5435353459241703,0.036242080514666375,Yes,0.5435353459241703
Overall_Percentage,combined_arousal_total_change,0.5080509023769587,0.05316591615541979,No,0.5080509023769587
Topic_Coverage,valence_modality_agreement,0.5018643027366507,0.056624975523902936,No,0.5018643027366507
Factual_Accuracy,combined_arousal_range,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Overall_Percentage,valence_modality_agreement,0.43828334888153125,0.1022331087164745,No,0.43828334888153125
Factual_Accuracy,combined_intensity_max_change,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Topic_Coverage,combined_intensity_total_change,0.4076515094431277,0.13148363256183143,No,0.4076515094431277
Topic_Coverage,combined_intensity_trend_slope,0.39678080252464437,0.14310672888778528,No,0.39678080252464437
Factual_Accuracy,combined_valence_mean_change,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_arousal_max,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_transition_rate,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_pct_time_tired,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_valence_min,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Topic_Coverage,combined_pct_time_tired,-0.3551097593371247,0.19399609324690148,No,0.3551097593371247
Factual_Accuracy,combined_arousal_trend_direction,-0.35355339059327373,0.1960961005248185,No,0.35355339059327373
Factual_Accuracy,arousal_modality_agreement,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Factual_Accuracy,combined_arousal_mean_change,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Factual_Accuracy,combined_valence_max,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Overall_Percentage,combined_intensity_trend_slope,0.33810429770860984,0.217734733406705,No,0.33810429770860984
Overall_Percentage,combined_intensity_total_change,0.33631538608052186,0.2203338333613809,No,0.33631538608052186
Factual_Accuracy,combined_time_in_tired,-0.3086066999241838,0.26308381783903756,No,0.3086066999241838
Factual_Accuracy,combined_valence_max_change,-0.3086066999241838,0.26308381783903756,No,0.3086066999241838
Topic_Coverage,combined_time_in_calm,0.2971326557718798,0.28215880317531855,No,0.2971326557718798
Semantic_Similarity,fused_quadrant_transitions,0.2964285714285714,0.28335542843426287,No,0.2964285714285714
Topic_Coverage,combined_transition_rate,0.2953208712854659,0.28524412209853844,No,0.2953208712854659
Overall_Percentage,fused_transition_rate,0.2951704186345006,0.2855012282353917,No,0.2951704186345006
Topic_Coverage,arousal_modality_agreement,0.2772030264213269,0.31719156769800705,No,0.2772030264213269
Semantic_Similarity,combined_arousal_max_change,-0.27499999999999997,0.3212111733193767,No,0.27499999999999997
Factual_Accuracy,combined_quadrant_transitions,0.2700308624336608,0.3303844666503378,No,0.2700308624336608
Topic_Coverage,fused_transition_rate,0.2663323195028435,0.3373077823714382,No,0.2663323195028435
Overall_Percentage,combined_transition_rate,0.26297000932891873,0.34367218959447665,No,0.26297000932891873
Semantic_Similarity,combined_intensity_mean_change,-0.2607142857142857,0.34797945986279355,No,0.2607142857142857
Overall_Percentage,combined_pct_time_tired,-0.2576032744446551,0.35396908933443816,No,0.2576032744446551
Topic_Coverage,combined_intensity_trend_direction,0.2510482226267169,0.3667752203311986,No,0.2510482226267169
Overall_Percentage,combined_time_in_calm,0.2486587163042157,0.3715056917823776,No,0.2486587163042157
Topic_Coverage,combined_arousal_min,0.24459090566587666,0.37963467641579585,No,0.24459090566587666
Overall_Percentage,combined_valence_mean_change,0.243291981419952,0.3822504870675918,No,0.243291981419952
Topic_Coverage,fused_pct_time_tired,-0.24096733669304887,0.3869560796728073,No,0.24096733669304887
Overall_Percentage,combined_arousal_min,0.2379252465356884,0.3931605698296178,No,0.2379252465356884
Semantic_Similarity,combined_arousal_range,-0.2321428571428571,0.40509874069364893,No,0.2321428571428571
Factual_Accuracy,fused_time_in_tired,-0.23145502494313785,0.40653136249946353,No,0.23145502494313785
Factual_Accuracy,fused_pct_time_tired,-0.23145502494313785,0.40653136249946353,No,0.23145502494313785
Topic_Coverage,fused_time_in_calm,0.22828484528815157,0.4131684702690901,No,0.22828484528815157
Semantic_Similarity,fused_time_in_tired,0.22499999999999998,0.420104686907635,No,0.22499999999999998
Semantic_Similarity,combined_quadrant_transitions,0.2178571428571428,0.43539267351553756,No,0.2178571428571428
Semantic_Similarity,combined_intensity_range,-0.21428571428571427,0.44314093482351424,No,0.21428571428571427
Topic_Coverage,combined_valence_cv,0.21016700042401254,0.45216175683475646,No,0.21016700042401254
Overall_Percentage,fused_peak_intensity_max,-0.20930266048628224,0.4540663368911352,No,0.20930266048628224
Semantic_Similarity,combined_arousal_mean_change,-0.2071428571428571,0.4588428049634704,No,0.2071428571428571
Semantic_Similarity,combined_valence_std,0.20357142857142854,0.46679507248911234,No,0.20357142857142854
Semantic_Similarity,combined_valence_variance,0.20357142857142854,0.46679507248911234,No,0.20357142857142854
Topic_Coverage,combined_intensity_range,-0.20291986247835694,0.46825307951110884,No,0.20291986247835694
Factual_Accuracy,combined_intensity_trend_direction,-0.2004459314343183,0.473809103731176,No,0.2004459314343183
Overall_Percentage,fused_time_in_calm,0.19499136746157922,0.48617064239250785,No,0.19499136746157922
Factual_Accuracy,fused_quadrant_transitions,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,fused_emotional_diversity,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_min,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
