Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Topic_Coverage,combined_quadrant_transitions,0.8763025226804968,1.829726732143322e-05,Yes,0.8763025226804968
Overall_Percentage,combined_quadrant_transitions,0.8285714285714284,0.00013524478013276988,Yes,0.8285714285714284
Overall_Percentage,fused_quadrant_transitions,0.7499999999999999,0.001280898450935536,Yes,0.7499999999999999
Topic_Coverage,fused_quadrant_transitions,0.7425986326220293,0.001518339397538496,Yes,0.7425986326220293
Topic_Coverage,combined_valence_total_change,0.6721330689425666,0.006054511862496595,Yes,0.6721330689425666
Overall_Percentage,combined_valence_total_change,0.6214285714285712,0.013402006712181795,Yes,0.6214285714285712
Topic_Coverage,combined_arousal_total_change,0.5763721747115021,0.024513225574393786,Yes,0.5763721747115021
Overall_Percentage,combined_arousal_total_change,0.5035714285714286,0.05565451716115848,No,0.5035714285714286
Topic_Coverage,valence_modality_agreement,0.48783851778089515,0.06507171662158626,No,0.48783851778089515
Factual_Accuracy,combined_arousal_range,0.4629100498862757,0.08227686582718156,No,0.4629100498862757
Overall_Percentage,valence_modality_agreement,0.4428571428571427,0.0982940655468714,No,0.4428571428571427
Topic_Coverage,combined_intensity_total_change,0.43363423802746237,0.106348720150115,No,0.43363423802746237
Topic_Coverage,combined_intensity_trend_slope,0.42460019140189026,0.11467310883078849,No,0.42460019140189026
Factual_Accuracy,combined_intensity_max_change,-0.4243342123957527,0.11492481241624569,No,0.4243342123957527
Factual_Accuracy,combined_valence_mean_change,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_arousal_max,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_transition_rate,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_pct_time_tired,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Factual_Accuracy,combined_valence_min,0.38575837490522974,0.15557949721454709,No,0.38575837490522974
Topic_Coverage,combined_pct_time_tired,-0.3595550556977709,0.18807816555276655,No,0.3595550556977709
Factual_Accuracy,combined_arousal_trend_direction,-0.35355339059327373,0.1960961005248185,No,0.35355339059327373
Factual_Accuracy,arousal_modality_agreement,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Factual_Accuracy,combined_arousal_mean_change,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Factual_Accuracy,combined_valence_max,0.3471825374147068,0.2048444407476489,No,0.3471825374147068
Overall_Percentage,combined_intensity_trend_slope,0.34642857142857136,0.2058959920935512,No,0.34642857142857136
Overall_Percentage,combined_intensity_total_change,0.3285714285714285,0.23180969720615968,No,0.3285714285714285
Overall_Percentage,fused_transition_rate,0.3178571428571428,0.24829056581701822,No,0.3178571428571428
Semantic_Similarity,fused_quadrant_transitions,0.3107142857142856,0.2596673973372179,No,0.3107142857142856
Factual_Accuracy,combined_time_in_tired,-0.3086066999241838,0.26308381783903756,No,0.3086066999241838
Factual_Accuracy,combined_valence_max_change,-0.3086066999241838,0.26308381783903756,No,0.3086066999241838
Topic_Coverage,fused_transition_rate,0.29631672931876596,0.2835457870757052,No,0.29631672931876596
Topic_Coverage,combined_transition_rate,0.2927031106685371,0.2897371979266607,No,0.2927031106685371
Overall_Percentage,combined_transition_rate,0.28571428571428564,0.3019363513225493,No,0.28571428571428564
Overall_Percentage,combined_pct_time_tired,-0.2785714285714285,0.3147094732307908,No,0.2785714285714285
Topic_Coverage,combined_time_in_calm,0.2764418267425073,0.3185771478379612,No,0.2764418267425073
Overall_Percentage,combined_valence_mean_change,0.27499999999999997,0.3212111733193767,No,0.27499999999999997
Topic_Coverage,arousal_modality_agreement,0.27463501741739277,0.32187992447371744,No,0.27463501741739277
Overall_Percentage,combined_arousal_min,0.2714285714285714,0.3277893068411728,No,0.2714285714285714
Factual_Accuracy,combined_quadrant_transitions,0.2700308624336608,0.3303844666503378,No,0.2700308624336608
Topic_Coverage,combined_intensity_trend_direction,0.2660062718084307,0.3379220128170489,No,0.2660062718084307
Topic_Coverage,combined_arousal_min,0.2656009707918207,0.33868642557554907,No,0.2656009707918207
Overall_Percentage,arousal_modality_agreement,0.25357142857142856,0.3618161038158896,No,0.25357142857142856
Topic_Coverage,fused_pct_time_tired,-0.2475328775406764,0.3737459680059879,No,0.2475328775406764
Semantic_Similarity,combined_arousal_max_change,-0.24285714285714283,0.38312834183934175,No,0.24285714285714283
Overall_Percentage,combined_time_in_calm,0.2321428571428571,0.40509874069364893,No,0.2321428571428571
Factual_Accuracy,fused_time_in_tired,-0.23145502494313785,0.40653136249946353,No,0.23145502494313785
Factual_Accuracy,fused_pct_time_tired,-0.23145502494313785,0.40653136249946353,No,0.23145502494313785
Semantic_Similarity,combined_quadrant_transitions,0.22142857142857136,0.42771371901637,No,0.22142857142857136
Semantic_Similarity,fused_time_in_tired,0.22142857142857136,0.42771371901637,No,0.22142857142857136
Semantic_Similarity,combined_arousal_range,-0.22142857142857136,0.42771371901637,No,0.22142857142857136
Semantic_Similarity,combined_intensity_mean_change,-0.21071428571428572,0.450957865215285,No,0.21071428571428572
Topic_Coverage,fused_time_in_calm,0.20958988171327345,0.4534330019258832,No,0.20958988171327345
Factual_Accuracy,combined_intensity_trend_direction,-0.2004459314343183,0.473809103731176,No,0.2004459314343183
Topic_Coverage,combined_valence_mean_change,0.19332859778724362,0.4899691431344525,No,0.19332859778724362
Factual_Accuracy,fused_quadrant_transitions,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,fused_emotional_diversity,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_variance,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_cv,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_min,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_arousal_cv,0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Factual_Accuracy,combined_intensity_std,-0.19287918745261487,0.49099819789044086,No,0.19287918745261487
Semantic_Similarity,combined_valence_std,0.1928571428571428,0.4910487016052232,No,0.1928571428571428
Semantic_Similarity,combined_arousal_mean_change,-0.1928571428571428,0.4910487016052232,No,0.1928571428571428
Semantic_Similarity,combined_valence_variance,0.1928571428571428,0.4910487016052232,No,0.1928571428571428
Overall_Percentage,combined_intensity_range,-0.18928571428571428,0.49926303323854526,No,0.18928571428571428
Semantic_Similarity,combined_arousal_min,0.1857142857142857,0.5075409629336737,No,0.1857142857142857
Topic_Coverage,combined_valence_cv,0.1788741231863282,0.5235698130801308,No,0.1788741231863282
Semantic_Similarity,combined_intensity_range,-0.175,0.5327481481378592,No,0.175
Semantic_Similarity,combined_valence_trend_slope,0.175,0.5327481481378592,No,0.175
Overall_Percentage,fused_peak_intensity_max,-0.175,0.5327481481378592,No,0.175
Topic_Coverage,combined_intensity_range,-0.16984007656075606,0.5450826040299381,No,0.16984007656075606
Topic_Coverage,fused_peak_intensity_max,-0.16984007656075606,0.5450826040299381,No,0.16984007656075606
Semantic_Similarity,fused_pct_time_tired,0.16785714285714282,0.5498555542278019,No,0.16785714285714282
Overall_Percentage,combined_valence_cv,0.16785714285714282,0.5498555542278019,No,0.16785714285714282
Factual_Accuracy,combined_valence_trend_direction,-0.16666666666666669,0.5527297125967168,No,0.16666666666666669
Overall_Percentage,fused_time_in_stressed,0.16443259470332788,0.5581408249113964,No,0.16443259470332788
Overall_Percentage,fused_time_in_calm,0.16428571428571426,0.5584973732486012,No,0.16428571428571426
Topic_Coverage,combined_valence_max,-0.16261283926029838,0.5625650805758857,No,0.16261283926029838
Topic_Coverage,combined_intensity_min,0.16261283926029838,0.5625650805758857,No,0.16261283926029838
Topic_Coverage,fused_time_in_stressed,0.16185401168035024,0.5644143545768648,No,0.16185401168035024
Overall_Percentage,combined_time_in_stressed,0.1607142857142857,0.5671967045803448,No,0.1607142857142857
Topic_Coverage,combined_time_in_stressed,0.15538560195984066,0.5802812457072868,No,0.15538560195984066
Overall_Percentage,combined_intensity_trend_direction,0.15464739353293544,0.5821036608134407,No,0.15464739353293544
Factual_Accuracy,combined_arousal_variance,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_cv,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_mean,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_trend_slope,-0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_std,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_valence_trend_slope,-0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,combined_arousal_mean,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Factual_Accuracy,fused_transition_rate,0.1543033499620919,0.5829538031976735,No,0.1543033499620919
Overall_Percentage,fused_pct_time_tired,-0.15357142857142855,0.5847640949410158,No,0.15357142857142855
Semantic_Similarity,combined_time_in_stressed,0.15357142857142855,0.5847640949410158,No,0.15357142857142855
Overall_Percentage,combined_valence_variance,0.15,0.5936302027425882,No,0.15
Semantic_Similarity,fused_pct_time_calm,-0.15,0.5936302027425882,No,0.15
Semantic_Similarity,combined_pct_time_calm,-0.15,0.5936302027425882,No,0.15
Semantic_Similarity,combined_time_in_tired,0.15,0.5936302027425882,No,0.15
Overall_Percentage,combined_valence_std,0.15,0.5936302027425882,No,0.15
Topic_Coverage,combined_pct_time_calm,0.14635155533426855,0.6027428532653257,No,0.14635155533426855
Semantic_Similarity,fused_time_in_stressed,0.14477217577140825,0.6067047180251994,No,0.14477217577140825
Topic_Coverage,fused_pct_time_calm,0.1427379366840397,0.6118225988816963,No,0.1427379366840397
Semantic_Similarity,combined_intensity_min,-0.13928571428571426,0.6205460876279014,No,0.13928571428571426
Semantic_Similarity,combined_intensity_std,-0.1357142857142857,0.6296204418728145,No,0.1357142857142857
Semantic_Similarity,combined_intensity_variance,-0.1357142857142857,0.6296204418728145,No,0.1357142857142857
Overall_Percentage,combined_valence_max,-0.1357142857142857,0.6296204418728145,No,0.1357142857142857
Overall_Percentage,combined_valence_min,-0.13214285714285715,0.6387442188840665,No,0.13214285714285715
Semantic_Similarity,combined_arousal_trend_slope,-0.13214285714285715,0.6387442188840665,No,0.13214285714285715
Topic_Coverage,combined_valence_min,-0.13189708073335313,0.6393738835226426,No,0.13189708073335313
Semantic_Similarity,combined_arousal_trend_direction,0.13093073414159542,0.6418518188801542,No,0.13093073414159542
Overall_Percentage,combined_intensity_mean_change,-0.12857142857142856,0.6479163294665075,No,0.12857142857142856
Topic_Coverage,fused_dominant_emotion_strength,0.12647665275800987,0.6533181597120672,No,0.12647665275800987
Overall_Percentage,combined_arousal_max_change,-0.125,0.6571356681869505,No,0.125
Overall_Percentage,combined_valence_range,0.125,0.6571356681869505,No,0.125
Semantic_Similarity,fused_peak_intensity_max,-0.12142857142857141,0.6664011137233894,No,0.12142857142857141
Semantic_Similarity,combined_intensity_max,-0.12142857142857141,0.6664011137233894,No,0.12142857142857141
Semantic_Similarity,fused_peak_intensity_mean,-0.12142857142857141,0.6664011137233894,No,0.12142857142857141
Overall_Percentage,combined_arousal_variance,-0.11785714285714284,0.6757115292213043,No,0.11785714285714284
Overall_Percentage,combined_intensity_max,-0.11785714285714284,0.6757115292213043,No,0.11785714285714284
Overall_Percentage,combined_arousal_std,-0.11785714285714284,0.6757115292213043,No,0.11785714285714284
Overall_Percentage,combined_valence_max_change,-0.11785714285714284,0.6757115292213043,No,0.11785714285714284
Factual_Accuracy,valence_modality_agreement,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_arousal_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_max,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_arousal_max_change,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_valence_total_change,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_total_change,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_range,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_valence_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Topic_Coverage,combined_valence_median,0.11382898748220888,0.686265115389595,No,0.11382898748220888
Overall_Percentage,fused_time_in_tired,0.11071428571428568,0.6944626472070963,No,0.11071428571428568
Semantic_Similarity,combined_valence_range,0.11071428571428568,0.6944626472070963,No,0.11071428571428568
Topic_Coverage,combined_valence_mean,0.10660175018175118,0.7053345491539365,No,0.10660175018175118
Topic_Coverage,combined_intensity_max,-0.10118132220640788,0.7197449065357331,No,0.10118132220640788
Overall_Percentage,combined_arousal_range,-0.09999999999999999,0.7228973252791182,No,0.09999999999999999
Semantic_Similarity,combined_valence_min,-0.09999999999999999,0.7228973252791182,No,0.09999999999999999
Overall_Percentage,combined_valence_median,0.09999999999999999,0.7228973252791182,No,0.09999999999999999
Semantic_Similarity,combined_valence_max,-0.09999999999999999,0.7228973252791182,No,0.09999999999999999
Topic_Coverage,combined_arousal_std,-0.09756770355617903,0.729401022328137,No,0.09756770355617903
Topic_Coverage,combined_arousal_variance,-0.09756770355617903,0.729401022328137,No,0.09756770355617903
Semantic_Similarity,fused_pct_time_stressed,0.0964285714285714,0.7324528633867308,No,0.0964285714285714
Overall_Percentage,combined_valence_mean,0.0964285714285714,0.7324528633867308,No,0.0964285714285714
Semantic_Similarity,combined_arousal_max,0.0964285714285714,0.7324528633867308,No,0.0964285714285714
Overall_Percentage,combined_pct_time_calm,0.09285714285714285,0.742045009907367,No,0.09285714285714285
Overall_Percentage,fused_peak_intensity_mean,-0.09285714285714285,0.742045009907367,No,0.09285714285714285
Overall_Percentage,fused_dominant_emotion_strength,0.08928571428571427,0.751672517350277,No,0.08928571428571427
Overall_Percentage,fused_pct_time_stressed,0.08928571428571427,0.751672517350277,No,0.08928571428571427
Topic_Coverage,combined_intensity_median,-0.08672684760549247,0.7585915027127408,No,0.08672684760549247
Topic_Coverage,fused_peak_intensity_mean,-0.08672684760549247,0.7585915027127408,No,0.08672684760549247
Overall_Percentage,fused_pct_time_calm,0.0857142857142857,0.7613341261907667,No,0.0857142857142857
Topic_Coverage,combined_arousal_range,-0.08492003828037803,0.7634872718369756,No,0.08492003828037803
Topic_Coverage,combined_intensity_mean_change,-0.08311322895526362,0.7683913710176873,No,0.08311322895526362
Semantic_Similarity,combined_valence_median,-0.08214285714285713,0.7710285652881772,No,0.08214285714285713
Semantic_Similarity,combined_valence_total_change,0.08214285714285713,0.7710285652881772,No,0.08214285714285713
Semantic_Similarity,combined_arousal_std,-0.08214285714285713,0.7710285652881772,No,0.08214285714285713
Semantic_Similarity,combined_arousal_variance,-0.08214285714285713,0.7710285652881772,No,0.08214285714285713
Overall_Percentage,combined_intensity_median,-0.07857142857142857,0.7807545523090464,No,0.07857142857142857
Semantic_Similarity,combined_arousal_cv,0.07857142857142857,0.7807545523090464,No,0.07857142857142857
Factual_Accuracy,combined_time_in_calm,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_intensity_mean,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_valence_variance,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_pct_time_stressed,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_pct_time_stressed,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_dominant_emotion_strength,-0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Semantic_Similarity,combined_valence_trend_direction,-0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,combined_valence_std,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Factual_Accuracy,fused_peak_intensity_max,0.07715167498104596,0.7846294104066152,No,0.07715167498104596
Topic_Coverage,combined_intensity_max_change,0.07227237300457705,0.7979815516402918,No,0.07227237300457705
Topic_Coverage,combined_arousal_max,-0.07227237300457705,0.7979815516402918,No,0.07227237300457705
Topic_Coverage,fused_pct_time_stressed,0.07227237300457705,0.7979815516402918,No,0.07227237300457705
Semantic_Similarity,combined_arousal_total_change,0.07142857142857141,0.8002959873970544,No,0.07142857142857141
Semantic_Similarity,combined_intensity_max_change,-0.07142857142857141,0.8002959873970544,No,0.07142857142857141
Overall_Percentage,combined_intensity_min,0.07142857142857141,0.8002959873970544,No,0.07142857142857141
Semantic_Similarity,fused_dominant_emotion_strength,-0.06785714285714285,0.8101088187105131,No,0.06785714285714285
